GEO_ID,NAME,Total_Grandparent_Householders,GP_Householder_ResponsibleForGrandchildren
48001,"Anderson County, Texas",1239,592
48003,"Andrews County, Texas",410,242
48005,"Angelina County, Texas",2538,1298
48007,"Aransas County, Texas",674,267
48009,"Archer County, Texas",75,54
48011,"Armstrong County, Texas",16,0
48013,"Atascosa County, Texas",2200,1013
48015,"Austin County, Texas",407,239
48017,"Bailey County, Texas",115,102
48019,"Bandera County, Texas",448,272
48021,"Bastrop County, Texas",3210,1740
48023,"Baylor County, Texas",79,63
48025,"Bee County, Texas",902,314
48027,"Bell County, Texas",5986,3410
48029,"Bexar County, Texas",57315,25455
48031,"Blanco County, Texas",272,63
48033,"Borden County, Texas",9,9
48035,"Bosque County, Texas",525,197
48037,"Bowie County, Texas",2910,2165
48039,"Brazoria County, Texas",8941,4597
48041,"Brazos County, Texas",3448,1541
48043,"Brewster County, Texas",244,190
48045,"Briscoe County, Texas",11,9
48047,"Brooks County, Texas",287,116
48049,"Brown County, Texas",907,666
48051,"Burleson County, Texas",640,402
48053,"Burnet County, Texas",1422,642
48055,"Caldwell County, Texas",1216,439
48057,"Calhoun County, Texas",814,217
48059,"Callahan County, Texas",347,282
48061,"Cameron County, Texas",16582,5167
48063,"Camp County, Texas",373,169
48065,"Carson County, Texas",103,49
48067,"Cass County, Texas",901,561
48069,"Castro County, Texas",243,114
48071,"Chambers County, Texas",1134,692
48073,"Cherokee County, Texas",1288,536
48075,"Childress County, Texas",6,1
48077,"Clay County, Texas",149,104
48079,"Cochran County, Texas",158,132
48081,"Coke County, Texas",57,28
48083,"Coleman County, Texas",88,88
48085,"Collin County, Texas",10094,4777
48087,"Collingsworth County, Texas",45,21
48089,"Colorado County, Texas",616,217
48091,"Comal County, Texas",2184,1171
48093,"Comanche County, Texas",494,299
48095,"Concho County, Texas",0,0
48097,"Cooke County, Texas",1053,499
48099,"Coryell County, Texas",1787,1119
48101,"Cottle County, Texas",31,31
48103,"Crane County, Texas",18,18
48105,"Crockett County, Texas",93,93
48107,"Crosby County, Texas",229,168
48109,"Culberson County, Texas",152,152
48111,"Dallam County, Texas",251,214
48113,"Dallas County, Texas",66097,29143
48115,"Dawson County, Texas",603,211
48117,"Deaf Smith County, Texas",395,164
48119,"Delta County, Texas",43,35
48121,"Denton County, Texas",9368,3935
48123,"DeWitt County, Texas",356,211
48125,"Dickens County, Texas",13,13
48127,"Dimmit County, Texas",286,255
48129,"Donley County, Texas",92,64
48131,"Duval County, Texas",287,238
48133,"Eastland County, Texas",355,281
48135,"Ector County, Texas",5515,3242
48137,"Edwards County, Texas",104,26
48139,"Ellis County, Texas",4239,1759
48141,"El Paso County, Texas",26803,11072
48143,"Erath County, Texas",820,394
48145,"Falls County, Texas",581,468
48147,"Fannin County, Texas",876,483
48149,"Fayette County, Texas",314,69
48151,"Fisher County, Texas",121,106
48153,"Floyd County, Texas",193,160
48155,"Foard County, Texas",7,0
48157,"Fort Bend County, Texas",12911,6274
48159,"Franklin County, Texas",145,139
48161,"Freestone County, Texas",222,144
48163,"Frio County, Texas",832,541
48165,"Gaines County, Texas",754,124
48167,"Galveston County, Texas",6413,3326
48169,"Garza County, Texas",14,0
48171,"Gillespie County, Texas",829,226
48173,"Glasscock County, Texas",12,0
48175,"Goliad County, Texas",129,26
48177,"Gonzales County, Texas",527,192
48179,"Gray County, Texas",303,199
48181,"Grayson County, Texas",3277,2036
48183,"Gregg County, Texas",2560,1741
48185,"Grimes County, Texas",874,614
48187,"Guadalupe County, Texas",3540,1668
48189,"Hale County, Texas",789,312
48191,"Hall County, Texas",53,31
48193,"Hamilton County, Texas",220,96
48195,"Hansford County, Texas",89,65
48197,"Hardeman County, Texas",169,161
48199,"Hardin County, Texas",1094,555
48201,"Harris County, Texas",104349,47692
48203,"Harrison County, Texas",1292,602
48205,"Hartley County, Texas",62,12
48207,"Haskell County, Texas",133,89
48209,"Hays County, Texas",3480,1402
48211,"Hemphill County, Texas",105,105
48213,"Henderson County, Texas",1575,980
48215,"Hidalgo County, Texas",34188,11832
48217,"Hill County, Texas",958,599
48219,"Hockley County, Texas",762,553
48221,"Hood County, Texas",1042,662
48223,"Hopkins County, Texas",964,713
48225,"Houston County, Texas",630,439
48227,"Howard County, Texas",761,487
48229,"Hudspeth County, Texas",223,201
48231,"Hunt County, Texas",2294,1434
48233,"Hutchinson County, Texas",515,202
48235,"Irion County, Texas",34,0
48237,"Jack County, Texas",85,8
48239,"Jackson County, Texas",276,155
48241,"Jasper County, Texas",814,660
48243,"Jeff Davis County, Texas",0,0
48245,"Jefferson County, Texas",4552,3084
48247,"Jim Hogg County, Texas",284,219
48249,"Jim Wells County, Texas",2111,734
48251,"Johnson County, Texas",3808,1997
48253,"Jones County, Texas",342,281
48255,"Karnes County, Texas",165,81
48257,"Kaufman County, Texas",3991,1973
48259,"Kendall County, Texas",492,349
48261,"Kenedy County, Texas",0,0
48263,"Kent County, Texas",17,17
48265,"Kerr County, Texas",885,526
48267,"Kimble County, Texas",95,72
48269,"King County, Texas",6,6
48271,"Kinney County, Texas",35,35
48273,"Kleberg County, Texas",889,510
48275,"Knox County, Texas",67,51
48277,"Lamar County, Texas",982,614
48279,"Lamb County, Texas",217,96
48281,"Lampasas County, Texas",508,264
48283,"La Salle County, Texas",287,89
48285,"Lavaca County, Texas",449,325
48287,"Lee County, Texas",212,32
48289,"Leon County, Texas",636,304
48291,"Liberty County, Texas",2877,1741
48293,"Limestone County, Texas",705,411
48295,"Lipscomb County, Texas",54,17
48297,"Live Oak County, Texas",305,160
48299,"Llano County, Texas",711,516
48301,"Loving County, Texas",0,0
48303,"Lubbock County, Texas",8334,5268
48305,"Lynn County, Texas",159,71
48307,"McCulloch County, Texas",323,160
48309,"McLennan County, Texas",6015,3251
48311,"McMullen County, Texas",0,0
48313,"Madison County, Texas",512,388
48315,"Marion County, Texas",323,290
48317,"Martin County, Texas",167,126
48319,"Mason County, Texas",0,0
48321,"Matagorda County, Texas",1196,531
48323,"Maverick County, Texas",3130,1182
48325,"Medina County, Texas",1370,452
48327,"Menard County, Texas",51,22
48329,"Midland County, Texas",3893,1901
48331,"Milam County, Texas",1094,564
48333,"Mills County, Texas",161,114
48335,"Mitchell County, Texas",250,210
48337,"Montague County, Texas",263,186
48339,"Montgomery County, Texas",10021,5546
48341,"Moore County, Texas",345,192
48343,"Morris County, Texas",315,154
48345,"Motley County, Texas",26,26
48347,"Nacogdoches County, Texas",1652,838
48349,"Navarro County, Texas",1622,1001
48351,"Newton County, Texas",141,71
48353,"Nolan County, Texas",542,364
48355,"Nueces County, Texas",11180,5201
48357,"Ochiltree County, Texas",70,57
48359,"Oldham County, Texas",22,22
48361,"Orange County, Texas",2094,1294
48363,"Palo Pinto County, Texas",396,276
48365,"Panola County, Texas",402,319
